Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
0;28;F;7240;2467;989;46;9;7;35;62;155;332;555;700;1883
0;28;M;6794;1534;287;60;10;0;40;125;267;555;994;1113;1809
0;29;T;14141;3998;1326;117;22;22;72;166;383;900;1601;1877;3657
0;29;F;7339;2557;1021;52;9;15;20;61;125;312;579;761;1827
0;29;M;6802;1441;305;65;13;7;52;105;258;588;1022;1116;1830
0;30;T;13922;4084;1395;94;19;18;74;177;381;794;1516;1879;3491
0;30;F;7377;2604;1064;40;7;8;30;72;125;295;567;785;1780
0;30;M;6545;1480;331;54;12;10;44;105;256;499;949;1094;1711
0;31;T;14260;4218;1394;123;18;20;79;179;384;863;1655;1876;3451
0;31;F;7357;2615;1084;46;11;10;29;52;122;300;619;738;1731
0;31;M;6903;1603;310;77;7;10;50;127;262;563;1036;1138;1720
0;32;T;13802;4315;1272;104;10;31;77;160;349;759;1629;1861;3235
0;32;F;7202;2692;973;49;0;11;25;53;118;264;626;733;1658
0;32;M;6590;1623;299;55;0;20;52;107;231;495;1003;1128;1577
0;33;T;14165;4562;1299;98;15;18;73;154;296;776;1555;1939;3380
0;33;F;7373;2818;1022;37;0;7;25;50;110;285;574;753;1692
0;33;M;6787;1744;277;61;10;11;48;104;186;491;981;1186;1688
0;34;T;13925;4825;1158;121;18;19;51;149;311;718;1452;1945;3158
0;34;F;7282;2977;915;53;9;10;12;49;123;275;539;756;1564
0;34;M;6643;1848;243;68;9;9;39;100;188;443;913;1189;1594
0;35;T;13478;4682;1153;83;16;14;59;153;303;685;1374;1996;2960
0;35;F;7051;2911;886;34;8;0;19;46;116;244;510;801;1476
0;35;M;6423;1771;267;49;8;10;40;107;187;441;864;1195;1484
1;0;T;4591;1098;141;33;0;15;48;57;66;199;412;941;1581
1;0;F;2264;703;106;14;0;0;15;16;28;72;136;367;807
1;0;M;2321;395;35;19;0;9;33;41;38;127;276;574;774
1;1;T;4784;1127;153;45;9;10;34;51;89;213;410;955;1688
1;1;F;2418;756;124;18;0;7;7;11;33;62;146;381;873
1;1;M;2361;371;29;27;7;0;27;40;56;151;264;574;815
1;2;T;4929;1197;154;32;7;9;42;61;75;217;402;958;1775
1;2;F;2578;820;118;14;0;0;11;21;30;78;157;367;962
1;2;M;2335;377;36;18;0;0;31;40;45;139;245;591;813
1;3;T;4660;1144;149;34;10;8;51;45;82;193;435;863;1646
1;3;F;2384;763;107;17;0;0;14;14;25;61;147;360;876
1;3;M;2258;381;42;17;0;0;37;31;57;132;288;503;770
1;4;T;4797;1274;155;37;0;0;42;54;69;190;388;848;1740
1;4;F;2488;821;117;22;0;0;11;12;22;73;134;361;915
1;4;M;2309;453;38;15;0;0;31;42;47;117;254;487;825
1;5;T;4923;1262;134;34;16;13;41;54;78;190;421;798;1882
