Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;23;F;261444;24649;1344;292;400;1126;1724;4787;10464;13531;31443;72763;98921
-1;23;M;271663;5993;1737;390;548;3170;4659;9712;23466;31458;58580;80995;50955
-1;24;T;550343;34306;3019;703;889;3936;6029;14045;33924;46889;88897;167332;150374
-1;24;F;272637;27557;1281;307;343;975;1700;4634;10609;14107;31525;79623;99976
-1;24;M;277706;6749;1738;396;546;2961;4329;9411;23315;32782;57372;87709;50398
-1;25;T;507506;31218;2944;618;775;3766;5529;13314;31990;46358;81884;161184;127926
-1;25;F;245666;24864;1283;242;330;965;1566;4482;10166;14298;28716;75324;83430
-1;25;M;261840;6354;1661;376;445;2801;3963;8832;21824;32060;53168;85860;44496
-1;26;T;525663;34946;2734;586;745;3749;5443;12658;31874;48478;81431;166741;136278
-1;26;F;256292;27883;1174;266;308;960;1523;4242;10096;14782;28300;78521;88237
-1;26;M;269371;7063;1560;320;437;2789;3920;8416;21778;33696;53131;88220;48041
-1;27;T;514184;34746;2820;583;737;3430;5126;12369;31380;50248;76579;159474;136692
-1;27;F;249904;27565;1199;260;289;934;1409;4127;10104;15485;26857;74729;86946
-1;27;M;264280;7181;1621;323;448;2496;3717;8242;21276;34763;49722;84745;49746
-1;28;T;518620;36988;2740;567;682;3298;4986;11909;30320;52269;73492;157610;143759
-1;28;F;252053;29292;1133;243;302;822;1365;3984;9764;16170;25627;73084;90267
-1;28;M;266567;7696;1607;324;380;2476;3621;7925;20556;36099;47865;84526;53492
-1;29;T;530642;40440;2775;581;683;3191;4873;11842;29871;53950;72454;158842;151140
-1;29;F;260183;32048;1242;260;298;777;1375;4063;9889;16760;25589;73848;94034
-1;29;M;270459;8392;1533;321;385;2414;3498;7779;19982;37190;46865;84994;57106
-1;30;T;535366;42253;2749;556;717;3181;4826;11876;29421;55602;70732;155575;157878
-1;30;F;263113;33393;1192;243;305;811;1384;3918;9840;17257;24929;72172;97669
-1;30;M;272253;8860;1557;313;412;2370;3442;7958;19581;38345;45803;83403;60209
-1;31;T;539083;42635;2737;510;681;3035;4712;11310;28979;57112;69740;153751;163881
-1;31;F;264483;33602;1199;240;285;762;1266;3713;9672;17903;24430;70978;100433
-1;31;M;274600;9033;1538;270;396;2273;3446;7597;19307;39209;45310;82773;63448
-1;32;T;534571;38908;2569;493;672;2967;4642;10841;28240;57130;68912;147969;171228
-1;32;F;262391;30761;1149;225;273;777;1282;3561;9488;18168;23926;67715;105066
-1;32;M;272180;8147;1420;268;399;2190;3360;7280;18752;38962;44986;80254;66162
-1;33;T;558240;39125;2630;518;647;2736;4427;10109;27490;57306;71589;150525;191138
-1;33;F;277538;31039;1158;214;289;741;1244;3358;9341;18102;24821;69520;117711
-1;33;M;280702;8086;1472;304;358;1995;3183;6751;18149;39204;46768;81005;73427
-1;34;T;556218;35779;2676;516;675;2484;4269;9841;26486;56192;73986;145377;197937
-1;34;F;276147;28391;1185;232;295;656;1202;3299;9029;18061;25646;66255;121896
-1;34;M;280071;7388;1491;284;380;1828;3067;6542;17457;38131;48340;79122;76041
-1;35;T;544740;33499;2568;475;643;2307;4297;9309;25420;54488;74268;139399;198067
-1;35;F;270478;26532;1137;212;274;614;1198;3247;8851;17645;25723;63354;121691
-1;35;M;274262;6967;1431;263;369;1693;3099;6062;16569;36843;48545;76045;76376
