Ville;Année;Libellé;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;31;28;F;33;;;;5;12;10;3;3;;;;
-1;31;28;T;211;;;;19;75;80;25;8;2;;2;
-1;31;29;M;5341;;;;8;40;90;200;308;469;1650;2199;377
-1;31;29;F;9471;;;4;8;18;48;95;159;334;2041;4695;2069
-1;31;29;T;14812;;;4;16;58;138;295;467;803;3691;6894;2446
-1;31;30;M;86;9;2;2;;3;3;9;17;15;15;10;1
-1;31;30;F;74;11;1;;1;5;2;7;9;6;18;14;
-1;31;30;T;160;20;3;2;1;8;5;16;26;21;33;24;1
-1;31;31;M;12549;50;28;36;84;108;255;490;869;1448;4682;4104;395
-1;31;31;F;19501;31;15;27;41;47;122;300;648;1206;5717;9213;2134
-1;31;31;T;32050;81;43;63;125;155;377;790;1517;2654;10399;13317;2529
-1;31;32;M;20291;1;;;3;29;342;1181;2547;3252;6900;5409;627
-1;31;32;F;15033;;;1;;7;68;237;442;994;4251;6879;2154
-1;31;32;T;35324;1;;1;3;36;410;1418;2989;4246;11151;12288;2781
-1;31;33;M;19113;13;3;9;39;91;242;615;1385;2017;6111;7124;1464
-1;31;33;F;25171;15;10;3;17;35;82;217;449;1032;5715;12262;5334
-1;31;33;T;44284;28;13;12;56;126;324;832;1834;3049;11826;19386;6798
-1;31;34;M;13192;3;1;5;17;50;161;465;1058;1801;4892;4244;495
-1;31;34;F;18447;;;8;11;22;108;270;556;1229;5541;8467;2235
-1;31;34;T;31639;3;1;13;28;72;269;735;1614;3030;10433;12711;2730
-1;31;35;M;13627;2;1;2;19;39;143;512;1374;1987;4682;4290;576
-1;31;35;F;17582;;1;;15;27;83;241;593;1132;4792;8113;2585
-1;31;35;T;31209;2;2;2;34;66;226;753;1967;3119;9474;12403;3161
-1;31;36;M;60;1;;1;1;2;5;9;14;9;8;8;2
-1;31;36;F;64;;1;;;6;3;2;9;6;12;16;9
